training episode 237 of 300 complete,  explore val = 0.01, episode reward = 204.0
training episode 238 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 239 of 300 complete,  explore val = 0.01, episode reward = 97.0
training episode 240 of 300 complete,  explore val = 0.01, episode reward = 54.0
training episode 241 of 300 complete,  explore val = 0.01, episode reward = 101.0
training episode 242 of 300 complete,  explore val = 0.01, episode reward = 69.0
training episode 243 of 300 complete,  explore val = 0.01, episode reward = 156.0
training episode 244 of 300 complete,  explore val = 0.01, episode reward = 126.0
training episode 245 of 300 complete,  explore val = 0.01, episode reward = 167.0
training episode 246 of 300 complete,  explore val = 0.01, episode reward = 150.0
training episode 247 of 300 complete,  explore val = 0.01, episode reward = 151.0
training episode 248 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 249 of 300 complete,  explore val = 0.01, episode reward = 139.0
training episode 250 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 251 of 300 complete,  explore val = 0.01, episode reward = 171.0
training episode 252 of 300 complete,  explore val = 0.01, episode reward = 447.0
training episode 253 of 300 complete,  explore val = 0.01, episode reward = 211.0
training episode 254 of 300 complete,  explore val = 0.01, episode reward = 151.0
training episode 255 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 256 of 300 complete,  explore val = 0.01, episode reward = 215.0
training episode 257 of 300 complete,  explore val = 0.01, episode reward = 260.0
training episode 258 of 300 complete,  explore val = 0.01, episode reward = 331.0
training episode 259 of 300 complete,  explore val = 0.01, episode reward = 225.0
training episode 260 of 300 complete,  explore val = 0.01, episode reward = 73.0
training episode 261 of 300 complete,  explore val = 0.01, episode reward = 112.0
training episode 262 of 300 complete,  explore val = 0.01, episode reward = 110.0
training episode 263 of 300 complete,  explore val = 0.01, episode reward = 147.0
training episode 264 of 300 complete,  explore val = 0.01, episode reward = 230.0
training episode 265 of 300 complete,  explore val = 0.01, episode reward = 99.0
training episode 266 of 300 complete,  explore val = 0.01, episode reward = 99.0
training episode 267 of 300 complete,  explore val = 0.01, episode reward = 92.0
training episode 268 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 269 of 300 complete,  explore val = 0.01, episode reward = 111.0
training episode 270 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 271 of 300 complete,  explore val = 0.01, episode reward = 122.0
training episode 272 of 300 complete,  explore val = 0.01, episode reward = 104.0
training episode 273 of 300 complete,  explore val = 0.01, episode reward = 58.0
training episode 274 of 300 complete,  explore val = 0.01, episode reward = 68.0
training episode 275 of 300 complete,  explore val = 0.01, episode reward = 336.0
