training episode 272 of 1000 complete,  explore val = 0.01, episode reward = 93.0
training episode 273 of 1000 complete,  explore val = 0.01, episode reward = 145.0
training episode 274 of 1000 complete,  explore val = 0.01, episode reward = 185.0
training episode 275 of 1000 complete,  explore val = 0.01, episode reward = 370.0
training episode 276 of 1000 complete,  explore val = 0.01, episode reward = 131.0
training episode 277 of 1000 complete,  explore val = 0.01, episode reward = 141.0
training episode 278 of 1000 complete,  explore val = 0.01, episode reward = 166.0
training episode 279 of 1000 complete,  explore val = 0.01, episode reward = 219.0
training episode 280 of 1000 complete,  explore val = 0.01, episode reward = 176.0
training episode 281 of 1000 complete,  explore val = 0.01, episode reward = 67.0
training episode 282 of 1000 complete,  explore val = 0.01, episode reward = 124.0
training episode 283 of 1000 complete,  explore val = 0.01, episode reward = 222.0
training episode 284 of 1000 complete,  explore val = 0.01, episode reward = 334.0
training episode 285 of 1000 complete,  explore val = 0.01, episode reward = 158.0
training episode 286 of 1000 complete,  explore val = 0.01, episode reward = 68.0
training episode 287 of 1000 complete,  explore val = 0.01, episode reward = 218.0
training episode 288 of 1000 complete,  explore val = 0.01, episode reward = 48.0
training episode 289 of 1000 complete,  explore val = 0.01, episode reward = 43.0
training episode 290 of 1000 complete,  explore val = 0.01, episode reward = 112.0
training episode 291 of 1000 complete,  explore val = 0.01, episode reward = 40.0
training episode 292 of 1000 complete,  explore val = 0.01, episode reward = 85.0
training episode 293 of 1000 complete,  explore val = 0.01, episode reward = 86.0
training episode 294 of 1000 complete,  explore val = 0.01, episode reward = 36.0
training episode 295 of 1000 complete,  explore val = 0.01, episode reward = 42.0
training episode 296 of 1000 complete,  explore val = 0.01, episode reward = 32.0
training episode 297 of 1000 complete,  explore val = 0.01, episode reward = 64.0
training episode 298 of 1000 complete,  explore val = 0.01, episode reward = 29.0
training episode 299 of 1000 complete,  explore val = 0.01, episode reward = 30.0
training episode 300 of 1000 complete,  explore val = 0.01, episode reward = 36.0
training episode 301 of 1000 complete,  explore val = 0.01, episode reward = 76.0
training episode 302 of 1000 complete,  explore val = 0.01, episode reward = 270.0
training episode 303 of 1000 complete,  explore val = 0.01, episode reward = 347.0
training episode 304 of 1000 complete,  explore val = 0.01, episode reward = 57.0
training episode 305 of 1000 complete,  explore val = 0.01, episode reward = 441.0
training episode 306 of 1000 complete,  explore val = 0.01, episode reward = 95.0
training episode 307 of 1000 complete,  explore val = 0.01, episode reward = 43.0
training episode 308 of 1000 complete,  explore val = 0.01, episode reward = 42.0
training episode 309 of 1000 complete,  explore val = 0.01, episode reward = 244.0
training episode 310 of 1000 complete,  explore val = 0.01, episode reward = 234.0
training episode 311 of 1000 complete,  explore val = 0.01, episode reward = 364.0
training episode 312 of 1000 complete,  explore val = 0.01, episode reward = 95.0
training episode 313 of 1000 complete,  explore val = 0.01, episode reward = 92.0
training episode 314 of 1000 complete,  explore val = 0.01, episode reward = 86.0
training episode 315 of 1000 complete,  explore val = 0.01, episode reward = 76.0
training episode 316 of 1000 complete,  explore val = 0.01, episode reward = 75.0
training episode 317 of 1000 complete,  explore val = 0.01, episode reward = 140.0
training episode 318 of 1000 complete,  explore val = 0.01, episode reward = 159.0
training episode 319 of 1000 complete,  explore val = 0.01, episode reward = 157.0
training episode 320 of 1000 complete,  explore val = 0.01, episode reward = 164.0
training episode 321 of 1000 complete,  explore val = 0.01, episode reward = 143.0
training episode 322 of 1000 complete,  explore val = 0.01, episode reward = 224.0
training episode 323 of 1000 complete,  explore val = 0.01, episode reward = 269.0
training episode 324 of 1000 complete,  explore val = 0.01, episode reward = 145.0
