episode 176 of 1000 complete,  explore val = 0.01, episode reward = 313.0, ave reward = 50.0
episode 177 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 50.6
episode 178 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 50.8
episode 179 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 51.5
episode 180 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 51.7
episode 181 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 51.7
episode 182 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 51.6
episode 183 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 51.9
episode 184 of 1000 complete,  explore val = 0.01, episode reward = 128.0, ave reward = 53.0
episode 185 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 52.9
episode 186 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 53.0
episode 187 of 1000 complete,  explore val = 0.01, episode reward = 374.0, ave reward = 56.5
episode 188 of 1000 complete,  explore val = 0.01, episode reward = 90.0, ave reward = 56.9
episode 189 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 57.5
episode 190 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 57.8
episode 191 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 58.4
episode 192 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 58.5
episode 193 of 1000 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 58.9
episode 194 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 58.8
episode 195 of 1000 complete,  explore val = 0.01, episode reward = 96.0, ave reward = 58.7
episode 196 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 58.1
episode 197 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 58.3
episode 198 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 58.6
episode 199 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 58.9
episode 200 of 1000 complete,  explore val = 0.01, episode reward = 86.0, ave reward = 59.6
episode 201 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 59.3
episode 202 of 1000 complete,  explore val = 0.01, episode reward = 133.0, ave reward = 60.4
episode 203 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 60.3
episode 204 of 1000 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 60.7
episode 205 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 60.8
episode 206 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 61.2
episode 207 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 61.4
episode 208 of 1000 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 61.0
episode 209 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 60.8
episode 210 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 60.2
episode 211 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 60.3
episode 212 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 60.8
episode 213 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 61.0
episode 214 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 60.8
episode 215 of 1000 complete,  explore val = 0.01, episode reward = 271.0, ave reward = 63.4
episode 216 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 59.4
episode 217 of 1000 complete,  explore val = 0.01, episode reward = 79.0, ave reward = 59.9
episode 218 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 60.1
episode 219 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 59.9
episode 220 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 60.2
episode 221 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 60.3
episode 222 of 1000 complete,  explore val = 0.01, episode reward = 78.0, ave reward = 60.8
episode 223 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 61.4
episode 224 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 61.2
episode 225 of 1000 complete,  explore val = 0.01, episode reward = 46.0, ave reward = 61.4
episode 226 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 61.6
episode 227 of 1000 complete,  explore val = 0.01, episode reward = 90.0, ave reward = 62.2
episode 228 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 62.7
episode 229 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 62.9
episode 230 of 1000 complete,  explore val = 0.01, episode reward = 104.0, ave reward = 63.3
episode 231 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 63.4
episode 232 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 63.7
episode 233 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 68.3
episode 234 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 68.6
episode 235 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 68.4
episode 236 of 1000 complete,  explore val = 0.01, episode reward = 92.0, ave reward = 68.3
episode 237 of 1000 complete,  explore val = 0.01, episode reward = 114.0, ave reward = 69.0
episode 238 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 69.5
episode 239 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 69.6
episode 240 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 69.4
episode 241 of 1000 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 69.7
episode 242 of 1000 complete,  explore val = 0.01, episode reward = 123.0, ave reward = 70.6
episode 243 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 71.3
